workflow,nbfilesinbb,cori,summit
1000Genome,0,17352.37,16029.53
1000Genome,1,16657.37,15338.49
1000Genome,2,15962.58,14647.98
1000Genome,3,15269.81,13958.58
1000Genome,4,14577.12,13269.26
1000Genome,5,13882.83,12578.89
1000Genome,6,13187.95,11888.28
1000Genome,7,12495.51,11199.12
1000Genome,8,11802.49,10509.55
1000Genome,9,11108.45,9819.224
1000Genome,10,10414.32,9129.012
1000Genome,11,9722.196,8439.981
1000Genome,12,9029.296,7750.458
1000Genome,13,8335.604,7060.455
1000Genome,14,7636.83,6365.762
1000Genome,15,6932.986,5666.12
1000Genome,16,6238.598,4975.684
1000Genome,17,5545.513,4286.117
1000Genome,18,4850.763,3595.554
1000Genome,19,4587.403,2906.104
1000Genome,20,4566.2,2217.766
1000Genome,21,4680.734,1775.498
1000Genome,22,4794.724,1774.399
